player,cluster
hankm00dy,0
BuckRogers,0
ATLASZENON,0
tbpatel23,1
ctmd,2
Signodesing,2
camozzi,2
NoNoNoNo,0
Bony,2
sheik1,2
banger,2
Bavarian_Illuminati,0
muratk,0
sufyan,2
DrCerebrito,1
DA,2
Practice,1
soheilsoma,2
nessu,1
lolshto,1
Vegan,2
staffie,1
signa,2
andresneno,1
Apradion,2
DreamerKrsk,0
jhericjared,1
rick,2
RaptoR-Bee,1
Artur2004,1
sook,2
Sattip,0
riaz,0
Pippertone,1
Miafkin,0
BozzOz,2
citizensas,0
Chernec,2
Ruslan28,0
KATAS,1
jijini,1
5-0,1
sheva19,0
ANDUTU,0
CantoOstinato,0
GOSHA,1
atoyotaisatoyota,1
masterofkick,0
dragon_storm,1
Altair,0
Mitsuo,1
gleb,0
antonio1954,0
suq_madiq,1
kalaramesh,1
DarkNess123,2
AThinLeafoftheLifeTreesTruth,0
FGR,0
Kinopsis,1
danaopaal,1
Robalo,1
Wordus,1
SRLE,0
BVS,1
edivillela,1
CapsLoc,1
sunbeam,1
FASHER,2
SADlife,2
dvorak,1
marcusfrex,1
decoy,0
pokeking,1
MK1,2
Geser,0
Hysteria,2
mode,1
Esperanto,0
Robocop,0
alexandros13,0
HaDi-Nazari,2
Romanov,1
paranganski,1
kostik,1
Antonio-ru,0
eiyawii,1
ckrudolph,1
53sobhan,2
royal23432,2
FrainBart,1
jingjie,0
loop,2
sik,1
anilku07,1
rumata,1
thomas_greece,0
bluemoon77,1
Scorpion_17,0
mankoand,2
qbot,0
Maria_K,1
SaraAlipoor,1
agob,1
Pen-Pen,1
fonzzz,1
Alicia,2
SamuelPStephensonJr,2
consun,0
tutsikiyanacek,1
krkrpelj,0
Ramarna,0
robbi,0
likan,0
chicotemido,1
Lemonhead,2
notLucky,1
VYJEBANEC,0
Homeak,0
tayas20,1
Na,2
abbas58,0
tehas23,1
Matisdom,0
edmario,1
koishiteru,1
orkuan,1
Talc1127,2
mataLionTower,1
KomVz,0
DATCHESSNIGGA,0
Brickman,1
chrisstansell,1
ResistMe,1
frankja,1
aruncn,0
D33PBLU3,2
Chandeep,0
yaponec005,0
ETO_GOLOVA,2
mahboob,1
hhh333,1
games,1
babu,2
takeback_kid,1
Thecheesykid,1
iri,0
FredrikXXV,2
markusxd,0
hamedsadeghi,2
Nikvol,1
ajsi,0
Odorespo,0
danshingennady2012,1
FelipeCP,1
areopagus,0
dejanba,2
isildur1,0
chess8886,0
imperius123,1
quez,0
Grosplant,1
jewkiller,1
garfield,1
Phianon,2
Kiriush,1
milkybarkid,1
gudwin,1
andryxa,0
KXEPAMBCE,0
mersad,2
ggg123,1
eziron,0
mansour,1
Accolon,0
superbuddhapunk,1
vadya-2013g,0
vladub,1
lasco13,1
unsta1,1
koishiteru2,0
Filipino,2
KmPeon,0
bloodyGambit,1
discostar,1
sexsahgrrr,0
biohazardous,0
gustavogdcp,2
castrocp,0
ulpiano3005,0
GMASTER,0
Ivan1927,0
GuffyG,0
romeo82,1
k3x,0
KP,0
pp99,0
xNewworldx,1
moin,2
stsms,2
hihihaha,1
AKIRA,1
IncredibleMiracle,1
kingforaday,1
reji,2
frankluz18,0
stuyck,1
curitibano,1
rfeca,0
estevaotonioli,2
hajsen,2
bajo2bajo,2
rodrigoam,2
el_mario,0
queenforanight,1
DaBudaMasta,0
thesheik,0
dpwmasters,0
Makia,1
Dorky,0
maxcoll23,1
botanik,1
genicio,1
SubLime,0
gusti,0
Tol62,1
rubenmarrios,1
WagnerLove,1
arkantos,1
slabisahista,0
xtasqf,1
YuraBoss,1
kasparov007,2
Dima85,2
Evocati,2
MssnGspl,1
NOOSHIN,0
Smok,0
chekmeifucan,1
Theion,1
safran,2
kanzee2,1
OMMHOA,0
